"Title","Description","Series","M","TestStatistic","EffectSize","NullProportion","InformativeCovariate","RDataClass","DispatchClass","BiocVersion","Maintainer","Genome","SourceType","SourceUrl","SourceVersion","SourceFile","Species","TaxonomyId","Coordinate_1_based","DataProvider","RDataPath"
"varyingntests-benchmark-n100","100 replicates of simulation varying number of tests with 100 tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingMtests",100,"Gaussian","N(3, 1)",0.9,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingntests-benchmark-n100.rds"
"varyingntests-benchmark-n500","100 replicates of simulation varying number of tests with 500 tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingMtests",500,"Gaussian","N(3, 1)",0.9,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingntests-benchmark-n500.rds"
"varyingntests-benchmark-n1000","100 replicates of simulation varying number of tests with 1000 tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingMtests",1000,"Gaussian","N(3, 1)",0.9,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingntests-benchmark-n1000.rds"
"varyingntests-benchmark-n5000","100 replicates of simulation varying number of tests with 5000 tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingMtests",5000,"Gaussian","N(3, 1)",0.9,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingntests-benchmark-n5000.rds"
"varyingntests-benchmark-n10000","100 replicates of simulation varying number of tests with 10000 tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingMtests",10000,"Gaussian","N(3, 1)",0.9,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingntests-benchmark-n10000.rds"
"varyingntests-benchmark-n50000","100 replicates of simulation varying number of tests with 50000 tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingMtests",50000,"Gaussian","N(3, 1)",0.9,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingntests-benchmark-n50000.rds"
"varyingpi0-t-benchmark-nullprop05","100 replicates of simulation varying null proportion with 5% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.05,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop05.rds"
"varyingpi0-t-benchmark-nullprop10","100 replicates of simulation varying null proportion with 10% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.1,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop10.rds"
"varyingpi0-t-benchmark-nullprop20","100 replicates of simulation varying null proportion with 20% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.2,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop20.rds"
"varyingpi0-t-benchmark-nullprop30","100 replicates of simulation varying null proportion with 30% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.3,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop30.rds"
"varyingpi0-t-benchmark-nullprop40","100 replicates of simulation varying null proportion with 40% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.4,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop40.rds"
"varyingpi0-t-benchmark-nullprop50","100 replicates of simulation varying null proportion with 50% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.5,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop50.rds"
"varyingpi0-t-benchmark-nullprop60","100 replicates of simulation varying null proportion with 60% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.6,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop60.rds"
"varyingpi0-t-benchmark-nullprop70","100 replicates of simulation varying null proportion with 70% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.7,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop70.rds"
"varyingpi0-t-benchmark-nullprop80","100 replicates of simulation varying null proportion with 80% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.8,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop80.rds"
"varyingpi0-t-benchmark-nullprop90","100 replicates of simulation varying null proportion with 90% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.9,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop90.rds"
"varyingpi0-t-benchmark-nullprop95","100 replicates of simulation varying null proportion with 95% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.95,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop95.rds"
"varyingpi0-t-benchmark-nullprop99","100 replicates of simulation varying null proportion with 99% null tests, t (11 degrees of freedom) distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_t11",20000,"t11","N(2, 1)",0.99,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-t-benchmark-nullprop99.rds"
"varyingpi0-benchmark-nullprop05","100 replicates of simulation varying null proportion with 5% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.05,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop05.rds"
"varyingpi0-benchmark-nullprop10","100 replicates of simulation varying null proportion with 10% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.1,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop10.rds"
"varyingpi0-benchmark-nullprop20","100 replicates of simulation varying null proportion with 20% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.2,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop20.rds"
"varyingpi0-benchmark-nullprop30","100 replicates of simulation varying null proportion with 30% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.3,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop30.rds"
"varyingpi0-benchmark-nullprop40","100 replicates of simulation varying null proportion with 40% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.4,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop40.rds"
"varyingpi0-benchmark-nullprop50","100 replicates of simulation varying null proportion with 50% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.5,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop50.rds"
"varyingpi0-benchmark-nullprop60","100 replicates of simulation varying null proportion with 60% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.6,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop60.rds"
"varyingpi0-benchmark-nullprop70","100 replicates of simulation varying null proportion with 70% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.7,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop70.rds"
"varyingpi0-benchmark-nullprop80","100 replicates of simulation varying null proportion with 80% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.8,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop80.rds"
"varyingpi0-benchmark-nullprop90","100 replicates of simulation varying null proportion with 90% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.9,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop90.rds"
"varyingpi0-benchmark-nullprop95","100 replicates of simulation varying null proportion with 95% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.95,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop95.rds"
"varyingpi0-benchmark-nullprop99","100 replicates of simulation varying null proportion with 99% null tests, standard Gaussian distributed test statistics, and 'sine' informative and paired uninformative covariates used in Korthauer, Kimes et al. (2019).","VaryingNullProp_Gaussian",20000,"Gaussian","N(2, 1)",0.99,"Sine","SummarizedBenchmark","Rds","3.10","Patrick Kimes <patrick.kimes@gmail.com>",NA,"Simulated","https://github.com/pkimes/benchmark-fdr/","b64f15f2bd5bfe70d2ee49921a001929fdd6fcf1",NA,NA,NA,NA,NA,"benchmarkfdrData2019/v1.0.0/Simulations/varyingpi0-benchmark-nullprop99.rds"
